"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"GARE DE ISSY VAL DE SEINE","PCG00084","Gare De Issy Val De Seine","80 rue Camille Desmoulins","92130","ISSY-LES-MOULINEAUX","48.829740","2.263490"
"GARE DE VIGNEUX SUR SEINE","PCG00079","Gare De Vigneux Sur Seine","Place Robert Lakota","91270","VIGNEUX-SUR-SEINE","48.565218","2.290912"
"GARE DE ETAMPES","PCG00077","Gare De Etampes","Place du Général Leclerc","91150","ETAMPES","48.436814","2.159483"
"Bureau de Poste - Bordeaux Maritime","PCG00107","Bureau de Poste - Bordeaux Maritime","130 cours Edouard Vaillant","33300","BORDEAUX","44.864056","-0.562737"
"GARE DE MAROLLES EN HUREPOIX","PCG00080","Gare De Marolles En Hurepoix","Place de la Gare","91630","MAROLLES-EN-HUREPOIX","48.566134","2.288954"
"GARE DE PONT DE RUNGIS AEROPORT D'ORLY","PCG00081","Gare De Pont De Rungis Aéroport D'Orly","2 Avenue du Docteur Marie","94150","THIAIS","48.748222","2.372862"
"Bureau de Poste - Mérignac principal","PCG00106","Bureau de Poste - Mérignac principal","5 avenue de l'Yser","33700","MERIGNAC","44.841513","-0.649505"
"Bureau de Poste - Cenon principal","PCG00108","Bureau de Poste - Cenon principal","9 avenue Roger Schwob","33150","CENON","44.855181","-0.518305"
"Bureau de Poste - Mérignac Capeyron","PCG00109","Bureau de Poste - Mérignac Capeyron","58 avenue du Bédat","33700","MERIGNAC","44.851191","-0.646136"
"GARE DE BOIS COLOMBES","PCG00083-161205","Gare De Bois Colombes","1 Place Gabriel Peri","92270","BOIS-COLOMBES","48.913480","2.272608"
"GARE DE VANVES MALAKOFF","PCG00085","Gare De Vanves Malakoff","Place Albert Culot","92170","VANVES","48.818526","2.291873"
"GARE DE EMERAINVILLE - PONTAULT COMBAULT","PCG00009","Gare De Emerainville - Pontault Combault","1 Avenue de la gare","77340","PONTAULT-COMBAULT","48.805901","2.618067"
"GARE DE GAGNY","PCG00086","Gare De Gagny","Place de la Gare","93220","GAGNY","48.883073","2.526561"
"GARE DE MONTIGNY BEAUCHAMP","PCG00087","Gare De Montigny Beauchamp","20 Avenue de la gare","95250","BEAUCHAMP","49.007463","2.198259"
"GARE DE SAINT-GRATIEN","PCG00088","Gare De Saint-Gratien","1 place de la gare","95210","SAINT-GRATIEN","48.964049","2.285283"
"GARE DE NEUVILLE UNIVERSITE","PCG00090","Gare De Neuville Universite","12 MAIL GAY LUSSAC","95000","NEUVILLE-SUR-OISE","49.014207","2.078804"
"GARE DE VIROFLAY RIVE GAUCHE","PCG00071","Gare De Viroflay Rive Gauche","44 rue Rieussec","78220","VIROFLAY","48.800641","2.171411"
"GARE DE NOGENT LE PERREUX","PCG00092","Gare De Nogent Le Perreux","Place du théatre","94130","NOGENT-SUR-MARNE","48.838445","2.494138"
"GARE DE YERRES","PCG00095","Gare De Yerres","Place de la gare","91330","YERRES","48.706823","2.483187"
"GARE DE VILLENEUVE SAINT-GEORGES","PCG00093","Gare De Villeneuve Saint-Georges","Place Pierre Sémart","94190","VILLENEUVE-SAINT-GEORGES","48.730201","2.446853"
"GARE DE CHOISY LE ROI","PCG00089","Gare De Choisy Le Roi","11 AVENUE ANATOLE FRANCE","94600","CHOISY-LE-ROI","48.764462","2.410582"
"GARE DE IVRY SUR SEINE","PCG00097","Gare De Ivry Sur Seine","Place Marcel Cachin","94200","IVRY-SUR-SEINE","48.814296","2.390837"
"GARE DE VITRY SUR SEINE","PCG00091","Gare De Vitry Sur Seine","1 Cour de la gare","94400","VITRY-SUR-SEINE","48.800551","2.402259"
"GARE DE JUVISY","PCG00078","Gare De Juvisy","Place Banette et Planchon","91260","JUVISY-SUR-ORGE","48.689146","2.382636"
"GARE DE VILLIERS SUR MARNE PLESSIS TREVISE","PCG00094","Gare De Villiers Sur Marne Plessis Trevise","Place Pierre Sémard","94350","VILLIERS-SUR-MARNE","48.823022","2.542929"
"DROPBIRD GARES","PCG00098","Dropbird Métro Gares Rennes","19 place de la Gare","35000","Rennes","48.103911","-1.673538"
"Bureau de Poste Sotteville les Rouen","PCG00310","Bureau de Poste Sotteville les Rouen","110 rue des déportés","76300","Sotteville-les-rouen","49.415796","1.088169"
"GARE DE VERNOUILLET VERNEUIL","PCG00099","Gare De Vernouillet Verneuil","22 AVENUE DU CHEMIN DE FER","78480","VERNEUIL-SUR-SEINE","48.981016","1.982685"
"GARE DE COLOMBES","PCG00032","Gare De Colombes","2-4 Rue St-Denis","92700","COLOMBES","48.923785","2.259185"
"GARE DE CHELLES GOURNAY","PCG00100","Gare De Chelles Gournay","10 PLACE GASNIER GUY","77500","CHELLES","48.874452","2.582483"
"Bureau de Poste - Caluire-et-Cuire","PCG00110","Bureau de Poste - Caluire-et-Cuire","28 rue Jean Moulin","69300","CALUIRE-ET-CUIRE","45.797962","4.845183"
"FNAC Paris Champs-Elysées","PCF00012","FNAC Champs-Elysées","74 avenue des Champs-Elysées","75008","Paris","48.871228","2.304552"
"FNAC Bordeaux","PCF00011","FNAC Bordeaux","50 Rue Parlement Sainte-Catherine","33000","Bordeaux","44.840001","-0.574189"
"Bricorama Boulogne","PCF00016","Bricorama Boulogne","701 Avenue du Général Leclerc","92100","BOULOGNE-BILLANCOURT","48.831388","2.236125"
"GARE DE SEVRES RIVE GAUCHE","PCG00062-161129","Gare De Sevres Rive Gauche","26 rue Auguste Rodin","92310","SEVRES","48.821426","2.214616"
"C.C Auchan Cognac","PCF00015","C.C Auchan Cognac","Rocade de Cognac","16100","CHATEAUBERNARD","45.683179","-0.305716"
"Decathlon Lille Flandres","PCF00019","Decathlon Lille Flandres","Gare de Lille Flandres","59000","LILLE","50.636770","3.070969"
"C.C Auchan Angoulême la Couronne","PCF00014","C.C Auchan Angoulême la Couronne","Rte de Bordeaux","16400","LA COURONNE","45.618366","0.103863"
"Bureau de Poste - Cauderan","PCG00117","Bureau de Poste - Cauderan","47 AVENUE LOUIS BARTHOU","33200","BORDEAUX","44.851486","-0.609714"
"Bureau de Poste - Les Lilas","PCG00116","Bureau de Poste - Les Lilas","4 boulevard de la Liberté","93260","LES LILAS","48.879699","2.416279"
